Date, Open, High, Low, Close
12/01/20,6740.30,7009.56,6740.30,7009.56
11/27/20,6885.07,6909.03,6791.46,6791.46
11/26/20,6987.32,6987.32,6843.11,6927.75
11/25/20,7125.44,7146.13,6994.79,7001.51
11/24/20,7211.13,7228.12,7016.11,7108.67
11/23/20,7163.98,7263.71,7158.68,7178.62
11/20/20,7024.23,7169.79,7021.18,7169.79
11/19/20,7008.96,7012.54,6974.65,6997.62
11/18/20,6971.90,7051.78,6970.49,7051.78
11/17/20,6950.52,6971.60,6921.12,6959.14
11/16/20,6991.39,6991.39,6857.89,6918.05
11/13/20,6933.89,6972.66,6917.02,6969.88
11/11/20,6968.93,7079.18,6944.11,7024.26
11/10/20,6792.58,7035.48,6792.58,7035.48
11/09/20,6665.08,6685.85,6619.59,6685.85
11/06/20,6686.13,6709.73,6571.00,6685.69
11/05/20,6477.16,6702.75,6477.16,6644.77
11/04/20,6374.47,6464.05,6334.09,6464.05
11/03/20,6282.89,6358.42,6250.87,6335.56
10/30/20,6233.60,6328.38,6202.90,6324.00
10/29/20,6326.31,6326.31,6248.48,6249.39
10/28/20,6413.60,6415.03,6377.79,6377.79
10/27/20,6467.45,6467.45,6381.19,6415.08
10/26/20,6496.19,6517.26,6453.20,6491.19
10/23/20,6370.92,6484.45,6370.92,6484.06
10/22/20,6309.87,6344.63,6241.31,6344.63
10/21/20,6146.04,6290.68,6146.04,6278.59
10/20/20,6022.61,6133.00,6018.33,6112.71
10/19/20,5913.78,6019.26,5913.78,6019.26
10/16/20,5921.34,5939.62,5898.47,5898.47
10/15/20,5930.43,5950.50,5919.55,5938.33
10/14/20,5923.92,5933.83,5913.01,5925.30
10/13/20,5938.61,5946.07,5920.77,5923.23
10/12/20,5935.40,5954.47,5910.73,5937.05
10/09/20,5943.71,5943.71,5908.52,5931.61
10/08/20,5888.45,5942.66,5825.48,5942.66
10/07/20,5904.91,5904.91,5845.68,5867.88
10/06/20,5938.41,5949.67,5850.85,5910.64
10/05/20,6005.58,6010.76,5938.95,5938.95
10/02/20,5942.15,5999.40,5924.86,5999.40
10/01/20,5881.90,5944.87,5857.38,5944.87
09/30/20,5863.50,5878.53,5849.50,5864.23
09/29/20,5878.28,5878.32,5841.60,5841.60
09/28/20,5870.52,5872.19,5846.23,5861.39
09/25/20,5842.81,5880.18,5829.66,5838.66
09/24/20,5888.20,5888.20,5845.80,5845.80
09/23/20,5900.88,5903.58,5876.78,5892.72
09/22/20,5893.19,5894.28,5837.03,5894.28
09/21/20,5913.60,5925.31,5879.76,5909.32
09/18/20,5945.25,5952.10,5886.37,5908.90
09/17/20,5946.05,5946.05,5886.33,5943.52
09/16/20,5996.99,5996.99,5943.92,5946.62
09/15/20,5989.44,6018.21,5947.85,6018.21
09/14/20,5954.23,5997.14,5934.47,5997.14
09/11/20,5906.94,5967.96,5888.36,5967.96
09/10/20,5955.55,5973.59,5902.39,5902.39
09/09/20,6000.16,6000.16,5932.84,5932.84
09/08/20,5917.54,6034.03,5908.47,6034.03
09/07/20,5787.70,5935.85,5772.01,5935.85
09/04/20,5750.16,5785.09,5695.78,5785.09
09/03/20,5751.14,5775.97,5723.46,5772.86
09/02/20,5820.70,5820.70,5703.59,5738.39
09/01/20,5922.06,5946.22,5799.24,5799.24
08/28/20,5917.71,5931.39,5872.26,5884.18
08/27/20,5930.04,5950.53,5919.74,5921.55
08/26/20,5935.83,5935.83,5895.70,5931.33
08/25/20,5934.26,5962.89,5893.14,5953.44
08/24/20,5997.55,5997.55,5925.80,5943.58
08/20/20,6058.35,6064.09,5962.64,6005.40
