Date, Open, High, Low, Close, Volume
02/04/21, 82.80, 83.00, 80.65, 83.00, 1422940
02/03/21, 82.50, 83.10, 82.05, 82.80, 3821090
02/02/21, 83.20, 83.40, 82.00, 83.10, 2420980
02/01/21, 80.00, 83.20, 80.00, 83.20, 3240300
01/29/21, 82.50, 82.50, 79.45, 79.45, 4762370
01/28/21, 81.00, 83.15, 81.00, 83.15, 1198430
01/27/21, 82.40, 83.20, 80.70, 83.15, 3258550
01/26/21, 82.50, 83.00, 82.05, 82.95, 1925620
01/25/21, 81.00, 83.20, 81.00, 83.20, 960240
01/22/21, 82.60, 82.85, 80.10, 81.00, 2320850
01/21/21, 84.00, 84.10, 82.50, 83.00, 1282780
01/20/21, 84.00, 84.00, 82.50, 83.20, 1346550
01/19/21, 84.00, 84.70, 83.50, 84.50, 3756730
01/18/21, 85.30, 85.30, 83.95, 84.70, 1862870
01/15/21, 86.10, 86.20, 85.10, 85.35, 1607030
01/14/21, 85.40, 86.25, 84.55, 86.20, 2121690
01/13/21, 84.00, 85.90, 84.00, 85.65, 1240090
01/12/21, 85.50, 85.60, 84.00, 84.00, 2261210
01/11/21, 86.90, 87.00, 84.55, 85.00, 4349680
01/08/21, 82.90, 87.00, 82.85, 87.00, 6610700
01/07/21, 80.20, 82.90, 80.20, 82.90, 2772480
01/06/21, 82.90, 82.90, 80.05, 81.00, 1469370
01/05/21, 82.35, 82.35, 81.00, 82.10, 3474050
01/04/21, 81.40, 82.40, 81.00, 82.40, 1757250
12/29/20, 81.45, 82.45, 81.20, 81.35, 2363730
12/28/20, 82.25, 82.25, 81.00, 81.05, 1807430
12/23/20, 81.30, 83.50, 81.10, 82.40, 3230290
12/22/20, 82.20, 82.20, 81.15, 81.35, 2260030
12/21/20, 82.40, 82.85, 82.00, 82.00, 2086100
12/18/20, 82.50, 82.95, 81.25, 82.70, 3663970
12/17/20, 82.60, 82.80, 81.85, 82.80, 1933260
12/16/20, 83.00, 83.05, 82.10, 83.00, 1955510
12/15/20, 82.10, 83.40, 82.10, 83.00, 3635880
12/14/20, 82.70, 83.50, 82.00, 82.00, 2858570
12/11/20, 83.00, 84.00, 82.40, 82.40, 3257660
12/10/20, 83.00, 83.55, 82.10, 83.00, 1431430
12/09/20, 82.70, 83.90, 81.15, 83.90, 4549550
12/07/20, 84.00, 84.00, 82.40, 83.00, 3170520
12/04/20, 84.20, 85.20, 82.20, 84.15, 4062800
12/03/20, 80.10, 84.00, 79.60, 84.00, 7646670
12/02/20, 82.00, 82.00, 79.30, 80.00, 7691110
12/01/20, 84.00, 84.00, 79.90, 80.10, 14234820
11/27/20, 88.00, 89.00, 83.00, 83.00, 79392195
11/26/20, 88.00, 88.25, 86.50, 88.00, 12360330
11/25/20, 87.80, 88.25, 87.00, 87.50, 5943510
11/24/20, 89.00, 89.00, 85.05, 87.50, 7033540
11/23/20, 87.40, 89.00, 87.00, 88.60, 6738850
11/20/20, 87.20, 88.95, 85.00, 86.10, 6314520
11/19/20, 85.00, 86.85, 84.55, 86.70, 7000690
11/18/20, 84.00, 85.95, 83.15, 84.45, 7446580
11/17/20, 83.00, 83.00, 80.30, 82.60, 5805780
11/16/20, 81.05, 84.00, 79.50, 83.00, 5948510
11/13/20, 83.50, 84.00, 81.10, 81.70, 9859450
11/11/20, 83.50, 92.00, 83.50, 84.35, 15395920
11/10/20, 79.60, 82.00, 79.60, 81.00, 4883780
11/09/20, 78.40, 79.20, 76.45, 78.00, 2506660
11/06/20, 79.00, 79.40, 77.35, 78.65, 3366710
11/05/20, 76.00, 79.50, 75.80, 79.00, 3601600
11/04/20, 74.80, 76.00, 74.50, 76.00, 1799900
11/03/20, 71.35, 74.80, 71.00, 74.80, 3932120
10/30/20, 72.00, 73.55, 71.35, 73.55, 1186660
10/29/20, 73.40, 73.50, 71.55, 72.00, 2823100
10/28/20, 74.80, 74.80, 73.40, 73.50, 1133880
10/27/20, 74.00, 75.00, 73.00, 74.95, 2019290
10/26/20, 74.35, 75.80, 73.10, 74.60, 3508410
10/23/20, 73.20, 74.50, 73.20, 74.40, 2134600
10/22/20, 74.80, 74.80, 72.10, 73.00, 4643980
10/21/20, 69.00, 75.80, 68.95, 75.80, 6758710
10/20/20, 66.95, 69.00, 66.35, 69.00, 8879840
10/19/20, 66.70, 67.00, 66.30, 66.90, 1093490
10/16/20, 66.45, 66.80, 66.05, 66.70, 726780
10/15/20, 66.50, 66.80, 65.80, 66.80, 1389160
10/14/20, 64.85, 66.50, 64.80, 66.50, 3143920
10/13/20, 64.50, 65.25, 64.45, 64.90, 1349970
10/12/20, 64.90, 65.40, 64.40, 65.00, 1583250
10/09/20, 64.65, 65.00, 64.35, 64.50, 4421750
10/08/20, 65.90, 65.90, 64.00, 65.00, 1536700
10/07/20, 65.35, 65.50, 64.90, 65.20, 1269920
10/06/20, 65.90, 65.90, 64.60, 65.35, 955480
